Branch,CPU,RAM,Storage,GPU,Screen,Pin,Status,Price
Dell,Core i7-12700H,16 GB,SSD 512GB,Nvidia GeForce RTX 3060 6GB,15.6 inch Full HD,"3-cell, 56WHz",Old,24.000.000
Lenovo,AMD Ryzen 7-5800H,16 GB,SSD 512GB,,15.6 inch Full HD,"3-cell, 56WHz",Old,25.700.000
Dell,Core i5-1135G7,8 GB,SSD 256GB,Intel Iris Xe Graphics,14 inch Full HD,"4 Cell, 63Whr",Old,9.400.000
Dell,Core i5-1135G7,16 GB,SSD 256GB,Intel Iris Xe Graphics,14 inch Full HD,"4 Cell, 63Whr",Old,9.800.000
Dell,Core i5-1135G7,16 GB,SSD 512GB,Intel Iris Xe Graphics,14 inch Full HD c?m ?ng,"4 Cell, 63Whr",Old,10.500.000
Dell,Core i5-11300H,8 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch 2.5K,"4-Cell, 54WHr (pin li?n)",Old,12.200.000
Dell,Core i5-11300H,16 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch 2.5K,"4-Cell, 54WHr (pin li?n)",Old,12.700.000
Dell,Core i5-11300H,16 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch 2.5K,"4-Cell, 54WHr (pin li?n)",Old,14.800.000
Dell,Core i5-11300H,8 GB,SSD 512GB,Nvidia Geforce MX450 2GB,13.3 inch 2.5K,"4-Cell, 54WHr (pin li?n)",Old,15.200.000
Dell,Core i7-11390H,16 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch 2.5K,"4-Cell, 54WHr (pin li?n)",Old,16.900.000
Dell,Core i5-11300H,16 GB,SSD 512GB,Intel Iris Plus Graphics,15.6 inch Full HD,4 cell,Old,12.200.000
Dell,Core i5-11300H,16 GB,SSD 512GB,Nvidia Geforce MX450 2GB,15.6 inch Full HD,4 cell,Old,12.700.000
Dell,Core i7-11370H,16 GB,SSD 512GB,Intel Iris Plus Graphics,15.6 inch Full HD,4 cell,Old,13.600.000
Dell,Core i7-6820HQ,8 GB,SSD 256GB,Nvidia Quadro M1200,15.6 inch Full HD,6 Cell,Old,8.900.000
