Branch,CPU,RAM,Storage,GPU,Screen,Pin,Status,Price
Dell,Core i5-13450HX,8 GB,SSD 512GB,Nvidia GeForce RTX 3050 6GB,15.6 inch Full HD,3 Cell 56WHrs,New,20.900.000
Dell,Core i5-13450HX,16 GB,SSD 512GB,Nvidia GeForce RTX 3050 6GB,15.6 inch Full HD,3 Cell 56WHrs,New,21.600.000
Dell,Core i5-13450HX,16 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,15.6 inch Full HD,3 Cell 56WHrs,New,23.600.000
Dell,Core i7-13650HX,8 GB,SSD 1TB,Nvidia GeForce RTX 4050 6GB,15.6 inch Full HD,3 Cell 56WHrs,New,24.900.000
Dell,Core i7-13650HX,16 GB,SSD 1TB,Nvidia GeForce RTX 4060 8GB,15.6 inch Full HD,3 Cell 56WHrs,New,28.900.000
Acer,Core i5-13500HX,16 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,16 inch Full HD,"4-cell, 90 Wh",New,21.500.000
Acer,Core i5-13500HX,16 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,16 inch Full HD,"4-cell, 90 Wh",New,24.200.000
Acer,Core i7-13700HX,16 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,16 inch Full HD,"4-cell, 90 Wh",New,25.700.000
Acer,Core i7-13700HX,16 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,16 inch Full HD,"4-cell, 90 Wh",New,28.900.000
Acer,Core i9-13900HX,16 GB,SSD 1TB,Nvidia GeForce RTX 4060 8GB,16 inch 2.5K,"4-cell, 90 Wh",New,32.800.000
Dell,AMD Ryzen 5 5600H,8 GB,SSD 256GB,Nvidia GeForce RTX 3050 4GB,15.6 inch Full HD,56WHr,New,15.700.000
Dell,AMD Ryzen 5 5600H,16 GB,SSD 256GB,Nvidia GeForce RTX 3050 4GB,15.6 inch Full HD,56WHr,New,16.400.000
Dell,AMD Ryzen 5 5600H,8 GB,SSD 512GB,Nvidia GeForce RTX 3050 4GB,15.6 inch Full HD,56WHr,New,16.700.000
Dell,AMD Ryzen 5 5600H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050 4GB,15.6 inch Full HD,56WHr,New,17.400.000
Acer,Core i5-12500H,8 GB,SSD 512GB,Nvidia GeForce RTX 3050 4GB,15.6 inch Full HD,4 Cell – 58.75 Wh,New,17.600.000
Acer,Core i5-12450H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050 4GB,15.6 inch Full HD,4 Cell – 58.75 Wh,New,18.000.000
Acer,Core i5-12500H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050Ti 4GB,15.6 inch Full HD 165GHz,4 Cell – 58.75 Wh,New,18.900.000
Acer,Core i5-12500H,16 GB,SSD 512GB,Nvidia GeForce RTX 3060 6GB,15.6 inch Full HD 165GHz,4 Cell – 58.75 Wh,New,19.700.000
Acer,Core i7-12700H,8 GB,SSD 512GB,Nvidia GeForce RTX 3050Ti 4GB,15.6 inch Full HD,4 Cell – 58.75 Wh,New,19.800.000
Acer,Core i7-12700H,16 GB,SSD 512GB,Nvidia GeForce RTX 4050 6GB,15.6 inch Full HD,4 Cell – 58.75 Wh,New,22.700.000
Acer,Core i9-12900H,16 GB,SSD 512GB,Nvidia GeForce RTX 3060 6GB,15.6 inch Full HD,4 Cell – 58.75 Wh,New,23.500.000
Acer,Core i7-12650H,16 GB,SSD 512GB,Nvidia GeForce RTX 4060 8GB,15.6 inch Full HD,4 Cell – 58.75 Wh,New,26.300.000
Dell,Core i5-12500H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050 4GB,15.6 inch Full HD,"3-cell, 56WHz",New,18.900.000
Dell,Core i5-12500H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050 4GB,15.6 inch Full HD,"3-cell, 56WHz",New,20.500.000
Dell,Core i7-12700H,16 GB,SSD 512GB,Nvidia GeForce RTX 3060 6GB,15.6 inch Full HD,"3-cell, 56WHz",New,22.000.000
Dell,Core i5-12500H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050Ti 4GB,15.6 inch Full HD,"3-cell, 56WHz",New,22.500.000
Dell,Core i7-12650H,16 GB,SSD 512GB,Nvidia GeForce RTX 3060 6GB,15.6 inch Full HD,"3-cell, 56WHz",New,23.500.000
Dell,Core i7-12700H,16 GB,SSD 512GB,Nvidia GeForce RTX 3060 6GB,15.6 inch Full HD,"3-cell, 56WHz",New,24.000.000
Lenovo,AMD Ryzen 7-5800H,16 GB,SSD 512GB,,15.6 inch Full HD,"3-cell, 56WHz",New,25.700.000
Dell,Core i5-11300H,8 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch 2.5K,"4-Cell, 54WHr (pin liền)",New,12.200.000
Dell,Core i5-11300H,16 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch 2.5K,"4-Cell, 54WHr (pin liền)",New,12.700.000
Dell,Core i5-11300H,16 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch 2.5K,"4-Cell, 54WHr (pin liền)",New,14.800.000
Dell,Core i5-11300H,8 GB,SSD 512GB,Nvidia Geforce MX450 2GB,13.3 inch 2.5K,"4-Cell, 54WHr (pin liền)",New,15.200.000
Dell,Core i7-11390H,16 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch 2.5K,"4-Cell, 54WHr (pin liền)",New,16.900.000
Dell,Core i5-1240P,16 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch QHD+,54WHrs,New,13.700.000
Dell,Core i7-1260P,16 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch QHD+,54WHrs,New,14.900.000
Dell,Core i5-1240P,16 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch QHD+,54WHrs,New,15.900.000
Dell,Core i7-1260P,16 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch QHD+,54WHrs,New,17.400.000
Dell,Core i7-1265U,16 GB,SSD 512GB,Intel Iris Xe Graphics,14 inch Full HD,3 Cell 41WHrs,New,14.800.000
MacBook,Apple M1,8 GB,SSD 256GB,Intel Iris Plus Graphics,13.3 inch (2560x1600)pixel,18 tiếng,New,14.900.000
MacBook,Apple M1,8 GB,SSD 512GB,Intel Iris Plus Graphics,13.3 inch (2560x1600)pixel,18 tiếng,New,17.900.000
MacBook,Apple M1,8 GB,SSD 256GB,Intel Iris Plus Graphics,13.3 inch (2560x1600)pixel,18 tiếng,New,18.900.000
HP,Core i5-1135G7,16 GB,SSD 512GB,Intel Iris Xe Graphics,15.6 inch Full HD,"3-cell, 45 Wh Li-ion",New,9.500.000
HP,Core i5-1135G7,16 GB,SSD 512GB,Intel Iris Xe Graphics,15.6 inch Full HD,"3-cell, 45 Wh Li-ion",New,11.900.000
HP,Core i7-1165G7,16 GB,SSD 512GB,Intel Iris Xe Graphics,15.6 inch Full HD,"3-cell, 45 Wh Li-ion",New,13.500.000
HP,Core i7-1065G7,8 GB,SSD 256GB,Intel HD Graphics 620,15.6 inch Full HD,"3-cell, 41 Wh Li-ion",New,9.800.000
HP,Core i7-1065G7,16 GB,SSD 512GB,Intel HD Graphics 620,15.6 inch Full HD,"3-cell, 41 Wh Li-ion",New,10.800.000
Lenovo,Core i3-1215U,4 GB,SSD 256GB,Intel UHD Graphics,14 inch Full HD,2 cell 38Wh,New,10.400.000
Dell,Core i5-1235U,8 GB,SSD 256GB,Intel Iris Xe Graphics,15.6 inch Full HD,63Wh 4-cell battery,New,13.900.000
Dell,Core i7-1265U,16 GB,SSD 512GB,Intel Iris Xe Graphics,15.6 inch Full HD,63Wh 4-cell battery,New,16.900.000
Lenovo,Core i5-1135G7,16 GB,SSD 256GB,Intel Iris Xe Graphics,14 inch Full HD,57Whr,New,14.200.000
Lenovo,Core i5-1145G7,16 GB,SSD 512GB,Intel Iris Xe Graphics,14 inch Full HD,57Whr,New,16.900.000
Asus,AMD Ryzen 7-5700U,8 GB,SSD 256GB,Nvidia Geforce MX450 2GB,15.6 inch Full HD,"56WHrs, 4S1P, 4-cell Li-ion",New,14.790.000
Dell,Core i5-11320H,16 GB,SSD 512GB,Intel Iris Xe Graphics,15.6 inch Full HD,"4 cell, 54wh",New,15.400.000
Dell,Core i5-11320H,16 GB,SSD 512GB,Nvidia Geforce MX450 2GB,15.6 inch Full HD,"4 cell, 54wh",New,16.400.000
Dell,Core i5-1240P,8 GB,SSD 256GB,Intel Iris Xe Graphics,16.0 inch FHD+,4 Cell 54 Wh,New,15.900.000
Dell,Core i5-1240P,16 GB,SSD 256GB,Intel Iris Xe Graphics,16.0 inch FHD+,4 Cell 54 Wh,New,16.400.000
Dell,Core i5-1240P,8 GB,SSD 512GB,Intel Iris Xe Graphics,16.0 inch FHD+,4 Cell 54 Wh,New,16.400.000
Dell,Core i5-1240P,16 GB,SSD 512GB,Intel Iris Xe Graphics,16.0 inch FHD+,4 Cell 54 Wh,New,16.900.000
Dell,Core i7-1260P,16 GB,SSD 512GB,Intel Iris Xe Graphics,16.0 inch FHD+,4 Cell 54 Wh,New,18.500.000
Dell,Core i5-1340P,8 GB,SSD 512GB,Intel Iris Xe Graphics,16.0 inch FHD+,"4-Cell, 54Wh",New,15.400.000
Dell,Core i5-1340P,16 GB,SSD 512GB,Intel Iris Xe Graphics,16.0 inch FHD+,"4-Cell, 54Wh",New,16.200.000
Dell,Core i7-1360P,16 GB,SSD 512GB,Intel Iris Xe Graphics,16 inch 2.5K,"4-Cell, 54Wh",New,20.500.000
Dell,Core i5-1340P,16 GB,SSD 512GB,Intel Iris Xe Graphics,14 inch FHD+,4-Cell Battery,New,16.200.000
